"anime_title","anime_premiere","anime_release","anime_nextair","anime_img","anime_badge"
"Golden Time","10/3/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GDT/GDT_MASTER_300x169.jpg","Dubbed"
"Golgo 13","4/11/2008 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GLG/GLG_MASTER_300x169.jpg","Dubbed"
"The Good Witch of the West","4/7/2006 12:00:00 AM","5/22/2017 5:00:00 AM","","//static.hidive.com/titles/GWT/GWT_01_MASTER_300x169.jpg",NA
"Gourmet Girl Graffiti","1/9/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GGG/GGG_MASTER_300x169.jpg",NA
"Granblue Fantasy: The Animation Season 2","10/4/2019 12:00:00 AM","10/4/2019 2:00:00 PM","","//static.hidive.com/titles/GBF/granblue-fantasy-season2_GBF_02_MASTER_300x169.jpg",NA
"Grimms Notes the Animation","1/11/2019 12:00:00 AM","1/26/2019 6:00:00 PM","","//static.hidive.com/titles/GRM/GRM_01_MASTER_300x169.jpg",NA
"Grimoire of Zero","4/10/2017 12:00:00 AM","4/1/2017 12:00:00 AM","","//static.hidive.com/titles/ZHM/ZHM_01_MASTER_300x169.jpg","Dubbed"
"Gugure! Kokkuri-san","10/5/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/GKS/GKS_MASTER_300x169.jpg",NA
"Gunparade March","2/6/2003 12:00:00 AM","11/2/2018 5:00:00 AM","","//static.hidive.com/titles/GPM/GPM_01_MASTER_300x169.jpg","Dubbed"
"Haikyu!! 3rd Season","10/7/2016 12:00:00 AM","10/27/2016 5:00:00 AM","","//static.hidive.com/titles/HKY/HKY_03_MASTER_300x169.jpg","Dubbed"
"Hakkenden: Eight Dogs of the East","1/5/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HKD/HKD_MASTER_300x169.jpg","Dubbed"
"Hakkenden: Eight Dogs of the East Season 2","7/7/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HKD/HKD_02_MASTER_300x169.jpg","Dubbed"
"Hakumei and Mikochi","1/12/2018 12:00:00 AM","1/4/2018 7:00:00 PM","","//static.hidive.com/titles/HAM/HAM_01_MASTER_300x169.jpg","Dubbed"
"Hanaukyo Maid Team: La Verite","4/4/2004 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HKM/HKM_01_MASTER_300x169.jpg","Dubbed"
"Hanayamata","7/8/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HYM/HYM_01_MASTER_300x169.jpg","Dubbed"
